GO.ID	Term	Annotated	Significant	Expected	P_value
150	GO:0004726	non-membrane spanning protein tyrosine phosphatase activity	3	3	1.13	0.05279
151	GO:0031995	insulin-like growth factor II binding	3	3	1.13	0.05279
152	GO:0005161	platelet-derived growth factor receptor binding	3	3	1.13	0.05279
153	GO:0004088	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity	3	3	1.13	0.05279
154	GO:0004070	aspartate carbamoyltransferase activity	3	3	1.13	0.05279
155	GO:0003863	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity	3	3	1.13	0.05279
156	GO:0003885	D-arabinono-1,4-lactone oxidase activity	3	3	1.13	0.05279
157	GO:0090541	MIT domain binding	3	3	1.13	0.05279
158	GO:0022851	GABA-gated chloride ion channel activity	3	3	1.13	0.05279
159	GO:0015093	ferrous iron transmembrane transporter activity	3	3	1.13	0.05279
160	GO:0004375	glycine dehydrogenase (decarboxylating) activity	3	3	1.13	0.05279
161	GO:0051117	ATPase binding	30	16	11.26	0.05644
162	GO:0031996	thioesterase binding	46	23	17.26	0.05660
163	GO:0004550	nucleoside diphosphate kinase activity	19	11	7.13	0.05707
164	GO:0005542	folic acid binding	17	10	6.38	0.06097
165	GO:0004298	threonine-type endopeptidase activity	17	10	6.38	0.06097
166	GO:0005179	hormone activity	17	10	6.38	0.06097
167	GO:0044325	transmembrane transporter binding	44	22	16.51	0.06142
168	GO:0001882	nucleoside binding	2395	1030	898.53	0.06419
169	GO:0003724	RNA helicase activity	26	14	9.75	0.06635
170	GO:0010181	FMN binding	26	14	9.75	0.06635
171	GO:0030971	receptor tyrosine kinase binding	29	15	10.88	0.06636
172	GO:0043548	phosphatidylinositol 3-kinase binding	15	10	5.63	0.06857
173	GO:0030374	nuclear receptor coactivator activity	13	8	4.88	0.06863
174	GO:0051059	NF-kappaB binding	13	8	4.88	0.06863
175	GO:0070679	inositol 1,4,5 trisphosphate binding	13	8	4.88	0.06863
176	GO:0016655	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	27	20	10.13	0.06902
