GO.ID	Term	Annotated	Significant	Expected	P_value
196	GO:0006521	regulation of cellular amino acid metabolic process	14	9	5.4	0.02012
197	GO:0000050	urea cycle	9	7	3.47	0.02012
198	GO:0035999	tetrahydrofolate interconversion	9	7	3.47	0.02012
199	GO:1901315	negative regulation of histone H2A K63-linked ubiquitination	9	7	3.47	0.02012
200	GO:0097284	hepatocyte apoptotic process	9	7	3.47	0.02012
201	GO:0045651	positive regulation of macrophage differentiation	9	7	3.47	0.02012
202	GO:0006183	GTP biosynthetic process	9	7	3.47	0.02012
203	GO:0006228	UTP biosynthetic process	9	7	3.47	0.02012
204	GO:0006579	amino-acid betaine catabolic process	9	7	3.47	0.02012
205	GO:0030174	regulation of DNA-templated DNA replication initiation	9	7	3.47	0.02012
206	GO:0006338	chromatin remodeling	208	103	80.22	0.02015
207	GO:0051056	regulation of small GTPase mediated signal transduction	168	95	64.8	0.02051
208	GO:0051480	regulation of cytosolic calcium ion concentration	68	35	26.23	0.02052
209	GO:0018108	peptidyl-tyrosine phosphorylation	269	125	103.75	0.02060
210	GO:0045766	positive regulation of angiogenesis	57	30	21.98	0.02140
211	GO:0097480	establishment of synaptic vesicle localization	46	25	17.74	0.02140
212	GO:0001701	in utero embryonic development	202	92	77.91	0.02176
213	GO:0008360	regulation of cell shape	71	36	27.38	0.02187
214	GO:0050905	neuromuscular process	83	40	32.01	0.02205
215	GO:0006760	folic acid-containing compound metabolic process	29	18	11.18	0.02206
216	GO:0051279	regulation of release of sequestered calcium ion into cytosol	21	13	8.1	0.02209
217	GO:0043149	stress fiber assembly	21	13	8.1	0.02209
218	GO:0002026	regulation of the force of heart contraction	12	9	4.63	0.02209
219	GO:0010226	response to lithium ion	7	7	2.7	0.02209
220	GO:0048730	epidermis morphogenesis	8	7	3.09	0.02210
221	GO:0035020	regulation of Rac protein signal transduction	6	6	2.31	0.02210
222	GO:0061037	negative regulation of cartilage development	9	7	3.47	0.02210
223	GO:0006013	mannose metabolic process	5	5	1.93	0.02211
224	GO:0009629	response to gravity	5	5	1.93	0.02211
225	GO:0090382	phagosome maturation	11	7	4.24	0.02211
226	GO:0050848	regulation of calcium-mediated signaling	11	7	4.24	0.02211
227	GO:0007091	metaphase/anaphase transition of mitotic cell cycle	37	17	14.27	0.02211
228	GO:0007427	epithelial cell migration, open tracheal system	4	4	1.54	0.02212
229	GO:0040002	collagen and cuticulin-based cuticle development	4	4	1.54	0.02212
230	GO:0007172	signal complex assembly	4	4	1.54	0.02212
231	GO:2000647	negative regulation of stem cell proliferation	4	4	1.54	0.02212
232	GO:0002003	angiotensin maturation	4	4	1.54	0.02212
233	GO:0032760	positive regulation of tumor necrosis factor production	4	4	1.54	0.02212
234	GO:0060687	regulation of branching involved in prostate gland morphogenesis	4	4	1.54	0.02212
235	GO:0006543	glutamine catabolic process	4	4	1.54	0.02212
236	GO:0006610	ribosomal protein import into nucleus	4	4	1.54	0.02212
237	GO:0070409	carbamoyl phosphate biosynthetic process	4	4	1.54	0.02212
238	GO:0006930	substrate-dependent cell migration, cell extension	4	4	1.54	0.02212
239	GO:0019048	modulation by virus of host process	16	7	6.17	0.02214
240	GO:0031100	animal organ regeneration	34	19	13.11	0.02257
241	GO:0009611	response to wounding	557	238	214.83	0.02263
242	GO:0030308	negative regulation of cell growth	80	39	30.85	0.02276
243	GO:0009395	phospholipid catabolic process	18	13	6.94	0.02309
244	GO:0060612	adipose tissue development	25	14	9.64	0.02312
245	GO:0042771	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	16	10	6.17	0.02314
246	GO:0007252	I-kappaB phosphorylation	11	8	4.24	0.02314
247	GO:0051496	positive regulation of stress fiber assembly	11	8	4.24	0.02314
248	GO:0034260	negative regulation of GTPase activity	11	8	4.24	0.02314
249	GO:0001921	positive regulation of receptor recycling	11	8	4.24	0.02314
250	GO:0070208	protein heterotrimerization	11	8	4.24	0.02314
251	GO:0048821	erythrocyte development	14	9	5.4	0.02314
252	GO:0006518	peptide metabolic process	574	304	221.38	0.02331
253	GO:0002697	regulation of immune effector process	81	42	31.24	0.02332
254	GO:0008286	insulin receptor signaling pathway	76	37	29.31	0.02334
255	GO:0070925	organelle assembly	391	178	150.8	0.02380
256	GO:0006986	response to unfolded protein	74	38	28.54	0.02394
257	GO:0045732	positive regulation of protein catabolic process	58	36	22.37	0.02407
258	GO:0016071	mRNA metabolic process	452	245	174.33	0.02412
259	GO:0051128	regulation of cellular component organization	1107	520	426.95	0.02423
260	GO:0051092	positive regulation of NF-kappaB transcription factor activity	53	28	20.44	0.02425
261	GO:1900087	positive regulation of G1/S transition of mitotic cell cycle	25	15	9.64	0.02433
262	GO:0006032	chitin catabolic process	25	15	9.64	0.02433
263	GO:0031331	positive regulation of cellular catabolic process	122	66	47.05	0.02465
264	GO:0045931	positive regulation of mitotic cell cycle	57	34	21.98	0.02474
265	GO:0060402	calcium ion transport into cytosol	41	24	15.81	0.02484
266	GO:0009086	methionine biosynthetic process	33	19	12.73	0.02505
267	GO:0006730	one-carbon metabolic process	30	20	11.57	0.02559
268	GO:0046132	pyrimidine ribonucleoside biosynthetic process	21	13	8.1	0.02570
269	GO:0060113	inner ear receptor cell differentiation	93	41	35.87	0.02585
270	GO:1901070	guanosine-containing compound biosynthetic process	15	10	5.79	0.02587
271	GO:0015988	energy coupled proton transmembrane transport, against electrochemical gradient	15	10	5.79	0.02587
272	GO:0046854	phosphatidylinositol phosphate biosynthetic process	31	21	11.96	0.02597
273	GO:0050890	cognition	175	73	67.5	0.02607
274	GO:0042474	middle ear morphogenesis	19	12	7.33	0.02610
275	GO:0019432	triglyceride biosynthetic process	27	17	10.41	0.02614
276	GO:0031589	cell-substrate adhesion	196	82	75.59	0.02614
277	GO:0043967	histone H4 acetylation	35	18	13.5	0.02620
278	GO:0007628	adult walking behavior	17	11	6.56	0.02620
279	GO:0051898	negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	17	11	6.56	0.02620
280	GO:0071242	cellular response to ammonium ion	17	11	6.56	0.02620
281	GO:1990390	protein K33-linked ubiquitination	17	11	6.56	0.02620
282	GO:0043406	positive regulation of MAP kinase activity	115	57	44.35	0.02623
283	GO:0030335	positive regulation of cell migration	159	78	61.32	0.02701
284	GO:0007519	skeletal muscle tissue development	79	35	30.47	0.02707
285	GO:0051592	response to calcium ion	82	35	31.63	0.02767
286	GO:0006367	transcription initiation at RNA polymerase II promoter	52	28	20.06	0.02921
287	GO:0035556	intracellular signal transduction	1486	684	573.13	0.02926
288	GO:0032147	activation of protein kinase activity	156	79	60.17	0.02937
289	GO:0070374	positive regulation of ERK1 and ERK2 cascade	65	33	25.07	0.03015
290	GO:0014706	striated muscle tissue development	159	76	61.32	0.03074
291	GO:0043627	response to estrogen	102	49	39.34	0.03190
292	GO:0001649	osteoblast differentiation	118	56	45.51	0.03345
293	GO:0097105	presynaptic membrane assembly	30	17	11.57	0.03369
294	GO:0010927	cellular component assembly involved in morphogenesis	218	106	84.08	0.03392
295	GO:0001889	liver development	97	51	37.41	0.03393
296	GO:1901615	organic hydroxy compound metabolic process	434	197	167.39	0.03413
297	GO:0006575	cellular modified amino acid metabolic process	191	97	73.67	0.03438
298	GO:0015918	sterol transport	55	34	21.21	0.03451
299	GO:0046164	alcohol catabolic process	44	26	16.97	0.03459
300	GO:0055013	cardiac muscle cell development	22	15	8.49	0.03464
301	GO:0030217	T cell differentiation	60	29	23.14	0.03466
302	GO:1901888	regulation of cell junction assembly	91	40	35.1	0.03468
303	GO:0031663	lipopolysaccharide-mediated signaling pathway	19	12	7.33	0.03468
304	GO:0035994	response to muscle stretch	12	9	4.63	0.03469
305	GO:0007099	centriole replication	14	9	5.4	0.03471
306	GO:0033962	P-body assembly	9	7	3.47	0.03471
307	GO:0045019	negative regulation of nitric oxide biosynthetic process	6	5	2.31	0.03473
308	GO:0045475	locomotor rhythm	6	5	2.31	0.03473
309	GO:0045162	clustering of voltage-gated sodium channels	6	5	2.31	0.03473
310	GO:0009048	dosage compensation by inactivation of X chromosome	6	5	2.31	0.03473
311	GO:0032727	positive regulation of interferon-alpha production	6	5	2.31	0.03473
312	GO:0050774	negative regulation of dendrite morphogenesis	6	5	2.31	0.03473
313	GO:0060044	negative regulation of cardiac muscle cell proliferation	6	5	2.31	0.03473
314	GO:1900449	regulation of glutamate receptor signaling pathway	6	5	2.31	0.03473
315	GO:0006450	regulation of translational fidelity	6	5	2.31	0.03473
316	GO:0021702	cerebellar Purkinje cell differentiation	6	5	2.31	0.03473
317	GO:0006448	regulation of translational elongation	9	6	3.47	0.03473
318	GO:0008206	bile acid metabolic process	25	12	9.64	0.03473
319	GO:0010467	gene expression	3753	1703	1447.48	0.03497
320	GO:0006446	regulation of translational initiation	50	30	19.28	0.03524
321	GO:0034599	cellular response to oxidative stress	101	47	38.95	0.03536
322	GO:0048701	embryonic cranial skeleton morphogenesis	39	20	15.04	0.03551
323	GO:0007585	respiratory gaseous exchange by respiratory system	42	21	16.2	0.03551
324	GO:0032879	regulation of localization	1081	492	416.93	0.03614
325	GO:0030163	protein catabolic process	411	224	158.52	0.03636
