GO.ID	Term	Annotated	Significant	Expected	P_value
269	GO:0005634	nucleus	4901	2085	2036.86	0.25734
270	GO:0005665	RNA polymerase II, core complex	13	7	5.4	0.26593
271	GO:0001726	ruffle	87	44	36.16	0.27030
272	GO:0032993	protein-DNA complex	432	185	179.54	0.27350
273	GO:0005881	cytoplasmic microtubule	33	17	13.71	0.27554
274	GO:0097060	synaptic membrane	284	125	118.03	0.28116
275	GO:0034709	methylosome	11	6	4.57	0.28195
276	GO:0031932	TORC2 complex	11	6	4.57	0.28195
277	GO:0016591	RNA polymerase II, holoenzyme	70	30	29.09	0.28203
278	GO:0000932	P-body	112	50	46.55	0.28386
279	GO:0005911	cell-cell junction	309	169	128.42	0.29379
280	GO:0015935	small ribosomal subunit	40	21	16.62	0.29953
281	GO:0005694	chromosome	654	277	271.8	0.29959
282	GO:0001891	phagocytic cup	11	7	4.57	0.29979
283	GO:0008023	transcription elongation factor complex	37	17	15.38	0.29990
284	GO:0035102	PRC1 complex	9	5	3.74	0.29994
285	GO:0031527	filopodium membrane	9	5	3.74	0.29994
286	GO:0014731	spectrin-associated cytoskeleton	9	5	3.74	0.29994
287	GO:0045179	apical cortex	9	5	3.74	0.29994
288	GO:0045120	pronucleus	13	6	5.4	0.30003
289	GO:0009897	external side of plasma membrane	80	36	33.25	0.30189
290	GO:0031941	filamentous actin	18	9	7.48	0.30982
291	GO:0005640	nuclear outer membrane	7	4	2.91	0.32052
292	GO:0030992	intraciliary transport particle B	7	4	2.91	0.32052
293	GO:0009506	plasmodesma	7	4	2.91	0.32052
294	GO:0005964	phosphorylase kinase complex	7	4	2.91	0.32052
295	GO:0016580	Sin3 complex	7	4	2.91	0.32052
296	GO:0070938	contractile ring	12	6	4.99	0.32053
297	GO:0034719	SMN-Sm protein complex	17	8	7.07	0.32053
298	GO:0031966	mitochondrial membrane	405	208	168.32	0.32068
299	GO:0045202	synapse	605	269	251.44	0.32686
300	GO:0032421	stereocilium bundle	72	41	29.92	0.32765
301	GO:0005581	collagen trimer	187	82	77.72	0.32802
302	GO:0033270	paranode region of axon	16	8	6.65	0.32941
303	GO:0019898	extrinsic component of membrane	150	68	62.34	0.33740
304	GO:0005905	clathrin-coated pit	68	30	28.26	0.33878
305	GO:0030688	preribosome, small subunit precursor	5	3	2.08	0.34471
306	GO:0060091	kinocilium	5	3	2.08	0.34471
307	GO:0031462	Cul2-RING ubiquitin ligase complex	5	3	2.08	0.34471
308	GO:0043160	acrosomal lumen	5	3	2.08	0.34471
309	GO:0031475	myosin V complex	5	3	2.08	0.34471
310	GO:0031476	myosin VI complex	5	3	2.08	0.34471
311	GO:0000931	gamma-tubulin ring complex	5	3	2.08	0.34471
312	GO:0030891	VCB complex	5	3	2.08	0.34471
313	GO:0033162	melanosome membrane	5	3	2.08	0.34471
314	GO:0097149	centralspindlin complex	5	3	2.08	0.34471
315	GO:0005589	collagen type VI trimer	5	3	2.08	0.34471
316	GO:0030123	AP-3 adaptor complex	5	3	2.08	0.34471
317	GO:0009277	fungal-type cell wall	5	3	2.08	0.34471
318	GO:0005663	DNA replication factor C complex	5	3	2.08	0.34471
319	GO:0030119	AP-type membrane coat adaptor complex	47	19	19.53	0.34487
320	GO:0005637	nuclear inner membrane	21	10	8.73	0.36236
321	GO:0017053	transcription repressor complex	30	14	12.47	0.36685
322	GO:0031090	organelle membrane	2293	1026	952.97	0.36723
323	GO:0016528	sarcoplasm	43	27	17.87	0.37386
324	GO:0022626	cytosolic ribosome	35	23	14.55	0.37392
325	GO:0044291	cell-cell contact zone	30	19	12.47	0.37409
326	GO:0045178	basal part of cell	139	61	57.77	0.37438
327	GO:0045254	pyruvate dehydrogenase complex	5	4	2.08	0.37449
328	GO:0000177	cytoplasmic exosome (RNase complex)	5	3	2.08	0.37458
329	GO:0002133	polycystin complex	3	2	1.25	0.37460
330	GO:0009331	glycerol-3-phosphate dehydrogenase complex	3	2	1.25	0.37460
331	GO:0031084	BLOC-2 complex	3	2	1.25	0.37460
332	GO:0046691	intracellular canaliculus	3	2	1.25	0.37460
333	GO:0009705	plant-type vacuole membrane	3	2	1.25	0.37460
334	GO:0005760	gamma DNA polymerase complex	3	2	1.25	0.37460
335	GO:0005785	signal recognition particle receptor complex	3	2	1.25	0.37460
336	GO:0005742	mitochondrial outer membrane translocase complex	3	2	1.25	0.37460
337	GO:0030868	smooth endoplasmic reticulum membrane	3	2	1.25	0.37460
338	GO:0001740	Barr body	3	2	1.25	0.37460
339	GO:0030479	actin cortical patch	3	2	1.25	0.37460
340	GO:0033557	Slx1-Slx4 complex	3	2	1.25	0.37460
341	GO:0097542	ciliary tip	3	2	1.25	0.37460
342	GO:0005590	collagen type VII trimer	3	2	1.25	0.37460
343	GO:0016012	sarcoglycan complex	3	2	1.25	0.37460
344	GO:0044354	macropinosome	3	2	1.25	0.37460
345	GO:0005955	calcineurin complex	3	2	1.25	0.37460
346	GO:0031313	extrinsic component of endosome membrane	3	2	1.25	0.37460
347	GO:0035869	ciliary transition zone	43	13	17.87	0.37509
348	GO:0010494	cytoplasmic stress granule	12	6	4.99	0.37681
349	GO:0002102	podosome	12	6	4.99	0.37681
350	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	12	6	4.99	0.37681
351	GO:0030141	secretory granule	196	88	81.46	0.38606
352	GO:0071339	MLL1 complex	26	12	10.81	0.38737
353	GO:0030054	cell junction	1010	468	419.76	0.39019
354	GO:0014069	postsynaptic density	109	47	45.3	0.40560
355	GO:0016461	unconventional myosin complex	18	9	7.48	0.40635
356	GO:0033276	transcription factor TFTC complex	10	5	4.16	0.40646
357	GO:0015629	actin cytoskeleton	295	144	122.6	0.40811
358	GO:0070603	SWI/SNF superfamily-type complex	51	31	21.2	0.41504
359	GO:0060293	germ plasm	20	17	8.31	0.41511
360	GO:0042827	platelet dense granule	27	16	11.22	0.41535
361	GO:0043209	myelin sheath	9	7	3.74	0.41544
362	GO:0030663	COPI-coated vesicle membrane	10	7	4.16	0.41546
363	GO:0045239	tricarboxylic acid cycle enzyme complex	8	6	3.32	0.41547
364	GO:0070069	cytochrome complex	6	5	2.49	0.41548
365	GO:0000307	cyclin-dependent protein kinase holoenzyme complex	10	6	4.16	0.41552
366	GO:0000805	X chromosome	4	3	1.66	0.41555
367	GO:0031371	ubiquitin conjugating enzyme complex	4	3	1.66	0.41555
368	GO:0035838	growing cell tip	2	2	0.83	0.41556
369	GO:0071782	endoplasmic reticulum tubular network	5	3	2.08	0.41558
370	GO:0005684	U2-type spliceosomal complex	1	1	0.42	0.41560
371	GO:0090537	CERF complex	1	1	0.42	0.41560
372	GO:0005688	U6 snRNP	1	1	0.42	0.41560
373	GO:0005673	transcription factor TFIIE complex	1	1	0.42	0.41560
374	GO:0034361	very-low-density lipoprotein particle	1	1	0.42	0.41560
375	GO:0043033	isoamylase complex	1	1	0.42	0.41560
376	GO:0017133	mitochondrial electron transfer flavoprotein complex	1	1	0.42	0.41560
377	GO:0071683	sensory dendrite	1	1	0.42	0.41560
378	GO:0034750	Scrib-APC-beta-catenin complex	1	1	0.42	0.41560
379	GO:0000836	Hrd1p ubiquitin ligase complex	1	1	0.42	0.41560
380	GO:0005642	annulate lamellae	1	1	0.42	0.41560
381	GO:0036020	endolysosome membrane	1	1	0.42	0.41560
382	GO:0035841	new growing cell tip	1	1	0.42	0.41560
383	GO:0005638	lamin filament	1	1	0.42	0.41560
384	GO:0072687	meiotic spindle	1	1	0.42	0.41560
385	GO:0070176	DRM complex	1	1	0.42	0.41560
386	GO:0000806	Y chromosome	1	1	0.42	0.41560
387	GO:0070522	ERCC4-ERCC1 complex	1	1	0.42	0.41560
388	GO:0045298	tubulin complex	1	1	0.42	0.41560
389	GO:0070545	PeBoW complex	1	1	0.42	0.41560
390	GO:0001651	dense fibrillar component	1	1	0.42	0.41560
391	GO:0008623	CHRAC	1	1	0.42	0.41560
392	GO:0071601	sphere organelle	1	1	0.42	0.41560
393	GO:0044194	cytolytic granule	1	1	0.42	0.41560
394	GO:0042582	azurophil granule	1	1	0.42	0.41560
395	GO:0031415	NatA complex	1	1	0.42	0.41560
396	GO:0005784	Sec61 translocon complex	1	1	0.42	0.41560
397	GO:0032010	phagolysosome	1	1	0.42	0.41560
398	GO:0070695	FHF complex	1	1	0.42	0.41560
399	GO:0030314	junctional membrane complex	1	1	0.42	0.41560
400	GO:0035985	senescence-associated heterochromatin focus	1	1	0.42	0.41560
401	GO:0043540	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase complex	1	1	0.42	0.41560
