GO.ID	Term	Annotated	Significant	Expected	P_value
144	GO:0045240	dihydrolipoyl dehydrogenase complex	5	1	0.04	1.00000
145	GO:0071944	cell periphery	3897	37	32	1.00000
146	GO:0042579	microbody	120	2	0.99	1.00000
147	GO:0000323	lytic vacuole	439	5	3.6	1.00000
148	GO:0065010	extracellular membrane-bounded organelle	645	14	5.3	1.00000
149	GO:0098552	side of membrane	148	2	1.22	1.00000
150	GO:0044306	neuron projection terminus	70	1	0.57	1.00000
151	GO:0044665	MLL1/2 complex	26	1	0.21	1.00000
152	GO:0044309	neuron spine	54	1	0.44	1.00000
153	GO:0045239	tricarboxylic acid cycle enzyme complex	8	1	0.07	1.00000
154	GO:0030062	mitochondrial tricarboxylic acid cycle enzyme complex	5	1	0.04	1.00000
155	GO:0099572	postsynaptic specialization	109	2	0.89	1.00000
156	GO:0005654	nucleoplasm	769	2	6.31	1.00000
157	GO:0009536	plastid	29	1	0.24	1.00000
158	GO:0099080	supramolecular complex	806	9	6.62	1.00000
159	GO:1990204	oxidoreductase complex	55	1	0.45	1.00000
160	GO:0099081	supramolecular polymer	598	8	4.91	1.00000
161	GO:0098827	endoplasmic reticulum subcompartment	615	11	5.05	1.00000
162	GO:0005740	mitochondrial envelope	433	5	3.56	1.00000
163	GO:0030055	cell-substrate junction	108	1	0.89	1.00000
164	GO:0005575	cellular_component	16564	136	136	1.00000
165	GO:0030659	cytoplasmic vesicle membrane	584	1	4.79	1.00000
166	GO:0034708	methyltransferase complex	66	1	0.54	1.00000
167	GO:0005681	spliceosomal complex	131	2	1.08	1.00000
168	GO:0005815	microtubule organizing center	578	2	4.75	1.00000
169	GO:0031672	A band	39	2	0.32	1.00000
170	GO:0031674	I band	84	3	0.69	1.00000
171	GO:0016459	myosin complex	49	1	0.4	1.00000
172	GO:0099512	supramolecular fiber	595	8	4.89	1.00000
173	GO:0099513	polymeric cytoskeletal fiber	428	4	3.51	1.00000
174	GO:0045202	synapse	605	4	4.97	1.00000
175	GO:0042641	actomyosin	35	1	0.29	1.00000
176	GO:0000785	chromatin	299	1	2.45	1.00000
