GO.ID	Term	Annotated	Significant	Expected	P_value
290	GO:0030194	positive regulation of blood coagulation	29	16	11.2	0.08879
291	GO:0007610	behavior	483	184	186.49	0.08945
292	GO:0000082	G1/S transition of mitotic cell cycle	158	60	61.01	0.09245
293	GO:0051965	positive regulation of synapse assembly	37	18	14.29	0.09526
294	GO:0016477	cell migration	594	241	229.35	0.09527
295	GO:0051974	negative regulation of telomerase activity	22	12	8.49	0.09528
296	GO:0007264	small GTPase mediated signal transduction	377	143	145.56	0.09724
297	GO:0009408	response to heat	68	34	26.26	0.10146
298	GO:0009611	response to wounding	557	221	215.06	0.10174
299	GO:0034142	toll-like receptor 4 signaling pathway	24	14	9.27	0.10203
300	GO:0071230	cellular response to amino acid stimulus	20	11	7.72	0.10216
301	GO:0032211	negative regulation of telomere maintenance via telomerase	20	11	7.72	0.10216
302	GO:0021766	hippocampus development	23	12	8.88	0.10217
303	GO:0042542	response to hydrogen peroxide	73	39	28.19	0.10402
304	GO:0031100	animal organ regeneration	34	17	13.13	0.10478
305	GO:0051966	regulation of synaptic transmission, glutamatergic	42	22	16.22	0.10930
306	GO:0097194	execution phase of apoptosis	50	23	19.31	0.10949
307	GO:0046718	viral entry into host cell	39	20	15.06	0.10950
308	GO:0060287	epithelial cilium movement involved in determination of left/right asymmetry	18	10	6.95	0.10954
309	GO:0048813	dendrite morphogenesis	116	54	44.79	0.11133
310	GO:0006984	ER-nucleus signaling pathway	39	21	15.06	0.11260
311	GO:0030968	endoplasmic reticulum unfolded protein response	31	16	11.97	0.11282
312	GO:0008152	metabolic process	13001	5038	5019.85	0.11455
313	GO:0001841	neural tube formation	122	57	47.11	0.11682
314	GO:0007029	endoplasmic reticulum organization	28	17	10.81	0.11715
315	GO:0071356	cellular response to tumor necrosis factor	38	20	14.67	0.11723
316	GO:0006469	negative regulation of protein kinase activity	84	36	32.43	0.11739
317	GO:0070593	dendrite self-avoidance	16	9	6.18	0.11745
318	GO:0097202	activation of cysteine-type endopeptidase activity	48	23	18.53	0.12016
319	GO:0016482	cytosolic transport	403	160	155.6	0.12316
320	GO:0007338	single fertilization	113	44	43.63	0.12363
321	GO:0040033	sRNA-mediated post-transcriptional gene silencing	60	28	23.17	0.12541
322	GO:0045974	regulation of translation, ncRNA-mediated	60	28	23.17	0.12541
323	GO:0035278	miRNA-mediated gene silencing by inhibition of translation	60	28	23.17	0.12541
324	GO:0050771	negative regulation of axonogenesis	39	21	15.06	0.12559
325	GO:0022038	corpus callosum development	14	8	5.41	0.12588
326	GO:0070059	intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	14	8	5.41	0.12588
327	GO:0035641	locomotory exploration behavior	14	8	5.41	0.12588
328	GO:2001237	negative regulation of extrinsic apoptotic signaling pathway	30	13	11.58	0.12598
329	GO:0006940	regulation of smooth muscle contraction	41	16	15.83	0.12609
330	GO:0051301	cell division	626	241	241.71	0.12673
331	GO:0010811	positive regulation of cell-substrate adhesion	53	25	20.46	0.12903
332	GO:0007507	heart development	358	151	138.23	0.12991
333	GO:0016042	lipid catabolic process	188	78	72.59	0.13091
334	GO:0043124	negative regulation of canonical NF-kappaB signal transduction	23	12	8.88	0.13141
335	GO:0009086	methionine biosynthetic process	33	15	12.74	0.13150
336	GO:0006820	monoatomic anion transport	343	132	132.44	0.13404
337	GO:2001239	regulation of extrinsic apoptotic signaling pathway in absence of ligand	31	15	11.97	0.13470
338	GO:0008063	Toll signaling pathway	13	8	5.02	0.13470
339	GO:0006611	protein export from nucleus	22	11	8.49	0.13474
340	GO:0001778	plasma membrane repair	12	7	4.63	0.13475
341	GO:0010763	positive regulation of fibroblast migration	12	7	4.63	0.13475
342	GO:0042438	melanin biosynthetic process	16	8	6.18	0.13480
343	GO:0030521	androgen receptor signaling pathway	22	10	8.49	0.13483
344	GO:0097105	presynaptic membrane assembly	30	15	11.58	0.13726
345	GO:0042327	positive regulation of phosphorylation	458	194	176.84	0.13998
346	GO:0008333	endosome to lysosome transport	25	12	9.65	0.14214
347	GO:0009584	detection of visible light	43	22	16.6	0.14363
348	GO:0060997	dendritic spine morphogenesis	23	13	8.88	0.14374
349	GO:0032367	intracellular cholesterol transport	21	11	8.11	0.14384
350	GO:0045117	azole transmembrane transport	11	7	4.25	0.14385
351	GO:0033151	V(D)J recombination	11	7	4.25	0.14385
352	GO:0071398	cellular response to fatty acid	11	7	4.25	0.14385
353	GO:0045740	positive regulation of DNA replication	17	9	6.56	0.14388
354	GO:0038063	collagen-activated tyrosine kinase receptor signaling pathway	10	6	3.86	0.14390
355	GO:0071514	genomic imprinting	10	6	3.86	0.14390
356	GO:0006349	regulation of gene expression by genomic imprinting	10	6	3.86	0.14390
357	GO:0007276	gamete generation	367	139	141.7	0.14430
358	GO:0021915	neural tube development	200	89	77.22	0.14520
359	GO:0006306	DNA methylation	46	23	17.76	0.14802
360	GO:0009749	response to glucose	64	28	24.71	0.14829
361	GO:0006541	glutamine metabolic process	33	16	12.74	0.14829
362	GO:0000413	protein peptidyl-prolyl isomerization	28	14	10.81	0.14830
363	GO:0006313	DNA transposition	183	78	70.66	0.14837
364	GO:0055092	sterol homeostasis	33	20	12.74	0.14882
365	GO:0003209	cardiac atrium morphogenesis	19	12	7.34	0.14893
366	GO:0014910	regulation of smooth muscle cell migration	14	10	5.41	0.14893
367	GO:2000401	regulation of lymphocyte migration	10	7	3.86	0.14899
368	GO:0051180	vitamin transport	31	15	11.97	0.14900
369	GO:0048069	eye pigmentation	8	6	3.09	0.14900
370	GO:0032506	cytokinetic process	24	12	9.27	0.14901
371	GO:0019068	virion assembly	6	5	2.32	0.14901
372	GO:0000052	citrulline metabolic process	4	4	1.54	0.14902
373	GO:0046101	hypoxanthine biosynthetic process	4	4	1.54	0.14902
