GO.ID	Term	Annotated	Significant	Expected	P_value
133	GO:0047522	15-oxoprostaglandin 13-oxidase activity	4	2	0.42	0.05838
134	GO:0033780	taurochenodeoxycholate 6alpha-hydroxylase activity	4	2	0.42	0.05838
135	GO:0070576	vitamin D 24-hydroxylase activity	4	2	0.42	0.05838
136	GO:0008139	nuclear localization sequence binding	4	2	0.42	0.05838
137	GO:0047638	albendazole monooxygenase activity	4	2	0.42	0.05838
138	GO:0050591	quinine 3-monooxygenase activity	4	2	0.42	0.05838
139	GO:0051787	misfolded protein binding	4	2	0.42	0.05838
140	GO:0071532	ankyrin repeat binding	4	2	0.42	0.05838
141	GO:0004100	chitin synthase activity	4	2	0.42	0.05838
142	GO:0034875	caffeine oxidase activity	4	2	0.42	0.05838
143	GO:0035375	zymogen binding	27	6	2.87	0.05981
144	GO:0005262	calcium channel activity	180	27	19.1	0.05984
145	GO:0008191	metalloendopeptidase inhibitor activity	9	3	0.96	0.06147
146	GO:0070410	co-SMAD binding	9	3	0.96	0.06147
147	GO:0004089	carbonate dehydratase activity	9	3	0.96	0.06147
148	GO:0032550	purine ribonucleoside binding	2382	275	252.8	0.06221
149	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	89	11	9.45	0.06453
150	GO:0042605	peptide antigen binding	15	4	1.59	0.06655
151	GO:0046539	histamine N-methyltransferase activity	15	4	1.59	0.06655
152	GO:0004713	protein tyrosine kinase activity	253	45	26.85	0.06765
153	GO:0017147	Wnt-protein binding	35	7	3.71	0.07144
154	GO:0005524	ATP binding	2056	238	218.2	0.07262
155	GO:0042626	ATPase-coupled transmembrane transporter activity	90	13	9.55	0.07548
156	GO:0015101	organic cation transmembrane transporter activity	43	10	4.56	0.07981
157	GO:0048306	calcium-dependent protein binding	29	6	3.08	0.08020
158	GO:0030983	mismatched DNA binding	19	4	2.02	0.08108
159	GO:0004941	beta2-adrenergic receptor activity	10	3	1.06	0.08108
160	GO:0038062	protein tyrosine kinase collagen receptor activity	10	3	1.06	0.08108
161	GO:0005385	zinc ion transmembrane transporter activity	10	3	1.06	0.08108
162	GO:0043208	glycosphingolipid binding	5	2	0.53	0.09055
163	GO:0036131	prostaglandin D2 11-ketoreductase activity	5	2	0.53	0.09055
164	GO:0034188	apolipoprotein A-I receptor activity	5	2	0.53	0.09055
165	GO:0050325	tauropine dehydrogenase activity	5	2	0.53	0.09055
166	GO:0047017	prostaglandin-F synthase activity	5	2	0.53	0.09055
167	GO:0070573	metallodipeptidase activity	5	2	0.53	0.09055
168	GO:0004963	follicle-stimulating hormone receptor activity	5	2	0.53	0.09055
169	GO:0004826	phenylalanine-tRNA ligase activity	5	2	0.53	0.09055
170	GO:0030151	molybdenum ion binding	5	2	0.53	0.09055
171	GO:0035255	ionotropic glutamate receptor binding	5	2	0.53	0.09055
172	GO:0008810	cellulase activity	5	2	0.53	0.09055
173	GO:0031593	polyubiquitin modification-dependent protein binding	44	8	4.67	0.09108
174	GO:0043565	sequence-specific DNA binding	485	56	51.47	0.09667
175	GO:0042277	peptide binding	136	25	14.43	0.09715
176	GO:0015297	antiporter activity	43	8	4.56	0.09790
177	GO:0001530	lipopolysaccharide binding	11	3	1.17	0.10300
178	GO:0001642	group III metabotropic glutamate receptor activity	11	3	1.17	0.10300
179	GO:0004030	aldehyde dehydrogenase [NAD(P)+] activity	11	3	1.17	0.10300
180	GO:0030247	polysaccharide binding	24	5	2.55	0.10354
181	GO:0016298	lipase activity	97	21	10.29	0.10560
182	GO:0001640	adenylate cyclase inhibiting G protein-coupled glutamate receptor activity	15	5	1.59	0.10599
183	GO:0008308	voltage-gated monoatomic anion channel activity	12	3	1.27	0.10608
184	GO:0003870	5-aminolevulinate synthase activity	1	1	0.11	0.10613
185	GO:0003875	ADP-ribosylarginine hydrolase activity	1	1	0.11	0.10613
