GO.ID	Term	Annotated	Significant	Expected	P_value
160	GO:0005947	mitochondrial alpha-ketoglutarate dehydrogenase complex	3	1	0.36	0.31620
161	GO:0044291	cell-cell contact zone	30	4	3.57	0.31623
162	GO:0005903	brush border	79	14	9.4	0.31685
163	GO:0009279	cell outer membrane	24	4	2.86	0.31804
164	GO:0032579	apical lamina of hyaline layer	24	4	2.86	0.31804
165	GO:0005852	eukaryotic translation initiation factor 3 complex	17	3	2.02	0.32955
166	GO:0000785	chromatin	299	29	35.58	0.33248
167	GO:0005765	lysosomal membrane	231	30	27.49	0.33262
168	GO:0030017	sarcomere	103	14	12.26	0.33760
169	GO:0072562	blood microparticle	10	2	1.19	0.33782
170	GO:0071546	pi-body	10	2	1.19	0.33782
171	GO:0019028	viral capsid	10	2	1.19	0.33782
172	GO:0005902	microvillus	67	11	7.97	0.34331
173	GO:0005776	autophagosome	37	7	4.4	0.34586
174	GO:0030425	dendrite	309	37	36.77	0.35515
175	GO:0005782	peroxisomal matrix	18	3	2.14	0.36383
176	GO:0016328	lateral plasma membrane	18	3	2.14	0.36383
177	GO:0016529	sarcoplasmic reticulum	40	8	4.76	0.37398
178	GO:0030315	T-tubule	26	4	3.09	0.37485
179	GO:0097431	mitotic spindle pole	34	5	4.05	0.38041
180	GO:1990023	mitotic spindle midzone	34	5	4.05	0.38041
181	GO:0030867	rough endoplasmic reticulum membrane	12	3	1.43	0.38289
182	GO:0033268	node of Ranvier	11	2	1.31	0.38311
183	GO:0097449	astrocyte projection	4	1	0.48	0.39758
184	GO:0032541	cortical endoplasmic reticulum	4	1	0.48	0.39758
185	GO:0070971	endoplasmic reticulum exit site	4	1	0.48	0.39758
186	GO:0070937	CRD-mediated mRNA stability complex	4	1	0.48	0.39758
187	GO:0036396	RNA N6-methyladenosine methyltransferase complex	4	1	0.48	0.39758
188	GO:0020002	host cell plasma membrane	4	1	0.48	0.39758
189	GO:0097038	perinuclear endoplasmic reticulum	4	1	0.48	0.39758
190	GO:0000176	nuclear exosome (RNase complex)	4	1	0.48	0.39758
191	GO:0031314	extrinsic component of mitochondrial inner membrane	4	1	0.48	0.39758
192	GO:0005683	U7 snRNP	4	1	0.48	0.39758
193	GO:0032301	MutSalpha complex	4	1	0.48	0.39758
194	GO:0005677	chromatin silencing complex	4	1	0.48	0.39758
195	GO:0008622	epsilon DNA polymerase complex	4	1	0.48	0.39758
196	GO:0031262	Ndc80 complex	4	1	0.48	0.39758
197	GO:0071141	SMAD protein complex	4	1	0.48	0.39758
198	GO:0072669	tRNA-splicing ligase complex	4	1	0.48	0.39758
199	GO:0001939	female pronucleus	4	1	0.48	0.39758
200	GO:0036057	slit diaphragm	4	1	0.48	0.39758
201	GO:0001725	stress fiber	19	3	2.26	0.39780
202	GO:0030055	cell-substrate junction	108	9	12.85	0.39831
203	GO:0030658	transport vesicle membrane	129	20	15.35	0.40378
204	GO:0042995	cell projection	1333	161	158.62	0.40482
205	GO:0045177	apical part of cell	277	27	32.96	0.40831
206	GO:0043025	neuronal cell body	256	31	30.46	0.40860
207	GO:0043596	nuclear replication fork	26	4	3.09	0.42692
208	GO:0005685	U1 snRNP	12	2	1.43	0.42700
209	GO:0002102	podosome	12	2	1.43	0.42700
210	GO:0032588	trans-Golgi network membrane	12	2	1.43	0.42700
211	GO:0005737	cytoplasm	8512	1058	1012.87	0.42834
212	GO:0000793	condensed chromosome	159	23	18.92	0.43008
213	GO:0012505	endomembrane system	2744	384	326.52	0.44006
214	GO:0032580	Golgi cisterna membrane	86	11	10.23	0.44791
215	GO:0030673	axolemma	37	5	4.4	0.45421
216	GO:0019898	extrinsic component of membrane	150	17	17.85	0.45718
217	GO:0032154	cleavage furrow	29	4	3.45	0.45891
218	GO:0097610	cell surface furrow	29	4	3.45	0.45891
219	GO:0005773	vacuole	531	83	63.19	0.46362
220	GO:0005637	nuclear inner membrane	21	3	2.5	0.46401
221	GO:0005589	collagen type VI trimer	5	1	0.59	0.46928
222	GO:0033017	sarcoplasmic reticulum membrane	5	1	0.59	0.46928
223	GO:0033162	melanosome membrane	5	1	0.59	0.46928
224	GO:0032009	early phagosome	5	1	0.59	0.46928
225	GO:0000177	cytoplasmic exosome (RNase complex)	5	1	0.59	0.46928
226	GO:0042629	mast cell granule	5	1	0.59	0.46928
227	GO:0016589	NURF complex	5	1	0.59	0.46928
228	GO:0005618	cell wall	38	5	4.52	0.47833
229	GO:0030131	clathrin adaptor complex	37	6	4.4	0.48564
230	GO:0045211	postsynaptic membrane	241	29	28.68	0.50427
231	GO:0005743	mitochondrial inner membrane	295	32	35.1	0.51212
232	GO:0032993	protein-DNA complex	432	46	51.4	0.51710
233	GO:0016605	PML body	82	10	9.76	0.51775
234	GO:0030016	myofibril	117	16	13.92	0.53211
235	GO:0031982	vesicle	1788	260	212.76	0.53221
236	GO:0043186	P granule	19	3	2.26	0.53237
237	GO:0071204	histone pre-mRNA 3'end processing complex	6	1	0.71	0.53246
238	GO:0055087	Ski complex	6	1	0.71	0.53246
239	GO:0044615	nuclear pore nuclear basket	6	1	0.71	0.53246
240	GO:0005921	gap junction	6	1	0.71	0.53246
241	GO:0005595	collagen type XII trimer	6	1	0.71	0.53246
242	GO:0030141	secretory granule	196	32	23.32	0.53512
243	GO:0000922	spindle pole	237	29	28.2	0.54524
244	GO:0038039	G protein-coupled receptor heterodimeric complex	15	2	1.78	0.54766
245	GO:0017146	NMDA selective glutamate receptor complex	15	2	1.78	0.54766
246	GO:0000242	pericentriolar material	15	2	1.78	0.54766
247	GO:0001917	photoreceptor inner segment	15	2	1.78	0.54766
248	GO:0030863	cortical cytoskeleton	47	3	5.59	0.54848
249	GO:0035631	CD40 receptor complex	24	3	2.86	0.55664
250	GO:0043083	synaptic cleft	16	2	1.9	0.58373
251	GO:0000796	condensin complex	16	2	1.9	0.58373
252	GO:0036038	MKS complex	16	2	1.9	0.58373
253	GO:0033290	eukaryotic 48S preinitiation complex	16	2	1.9	0.58373
254	GO:0016282	eukaryotic 43S preinitiation complex	16	2	1.9	0.58373
255	GO:0033270	paranode region of axon	16	2	1.9	0.58373
256	GO:0015030	Cajal body	25	3	2.97	0.58530
257	GO:0043020	NADPH oxidase complex	7	1	0.83	0.58811
258	GO:0005744	TIM23 mitochondrial import inner membrane translocase complex	7	1	0.83	0.58811
259	GO:0071547	piP-body	7	1	0.83	0.58811
260	GO:0000145	exocyst	7	1	0.83	0.58811
261	GO:0008250	oligosaccharyltransferase complex	7	1	0.83	0.58811
262	GO:0071013	catalytic step 2 spliceosome	52	6	6.19	0.59603
263	GO:0031088	platelet dense granule membrane	26	3	3.09	0.61275
264	GO:0032420	stereocilium	53	7	6.31	0.61281
265	GO:0005884	actin filament	44	4	5.24	0.61317
266	GO:0032590	dendrite membrane	19	3	2.26	0.61739
267	GO:0042734	presynaptic membrane	62	7	7.38	0.61758
268	GO:0000795	synaptonemal complex	17	2	2.02	0.61762
269	GO:0000407	phagophore assembly site	17	2	2.02	0.61762
270	GO:0031985	Golgi cisterna	98	13	11.66	0.63689
271	GO:0045169	fusome	8	1	0.95	0.63714
272	GO:0034362	low-density lipoprotein particle	8	1	0.95	0.63714
273	GO:0060077	inhibitory synapse	8	1	0.95	0.63714
274	GO:0005687	U4 snRNP	8	1	0.95	0.63714
275	GO:0032983	kainate selective glutamate receptor complex	8	1	0.95	0.63714
276	GO:0005606	laminin-1 complex	8	1	0.95	0.63714
277	GO:0097487	multivesicular body, internal vesicle	8	1	0.95	0.63714
278	GO:0001750	photoreceptor outer segment	27	3	3.21	0.63895
279	GO:0014704	intercalated disc	27	3	3.21	0.63895
280	GO:0001669	acrosomal vesicle	41	4	4.88	0.63919
281	GO:0005759	mitochondrial matrix	198	20	23.56	0.64188
282	GO:0005604	basement membrane	198	22	23.56	0.64594
283	GO:0016604	nuclear body	237	20	28.2	0.65170
284	GO:0060170	ciliary membrane	56	6	6.66	0.66949
285	GO:0008021	synaptic vesicle	108	11	12.85	0.67304
286	GO:0005856	cytoskeleton	1631	191	194.08	0.67453
287	GO:0009925	basal plasma membrane	136	21	16.18	0.67747
288	GO:0044224	juxtaparanode region of axon	19	2	2.26	0.67893
289	GO:0030134	COPII-coated ER to Golgi transport vesicle	26	7	3.09	0.67956
290	GO:0031672	A band	39	6	4.64	0.68006
291	GO:0051233	spindle midzone	43	6	5.12	0.68015
292	GO:0014731	spectrin-associated cytoskeleton	9	1	1.07	0.68034
293	GO:0001518	voltage-gated sodium channel complex	9	1	1.07	0.68034
294	GO:0000783	nuclear telomere cap complex	9	1	1.07	0.68034
295	GO:0071565	nBAF complex	9	1	1.07	0.68034
296	GO:0045179	apical cortex	9	1	1.07	0.68034
297	GO:0030126	COPI vesicle coat	9	1	1.07	0.68034
298	GO:0032281	AMPA glutamate receptor complex	9	1	1.07	0.68034
299	GO:0030915	Smc5-Smc6 complex	9	1	1.07	0.68034
300	GO:0005918	septate junction	9	1	1.07	0.68034
301	GO:0009941	chloroplast envelope	9	1	1.07	0.68034
302	GO:0031527	filopodium membrane	9	1	1.07	0.68034
303	GO:0042405	nuclear inclusion body	9	1	1.07	0.68034
304	GO:0015935	small ribosomal subunit	40	3	4.76	0.68067
305	GO:0043296	apical junction complex	97	9	11.54	0.68083
306	GO:0000776	kinetochore	95	12	11.3	0.69584
307	GO:0043195	terminal bouton	39	4	4.64	0.69791
308	GO:0043204	perikaryon	58	6	6.9	0.70285
309	GO:0030667	secretory granule membrane	102	20	12.14	0.70413
310	GO:0005871	kinesin complex	117	14	13.92	0.70498
311	GO:0045335	phagocytic vesicle	51	8	6.07	0.70580
312	GO:0033116	endoplasmic reticulum-Golgi intermediate compartment membrane	20	2	2.38	0.70645
313	GO:0009507	chloroplast	29	3	3.45	0.70647
314	GO:0036126	sperm flagellum	21	5	2.5	0.71788
315	GO:0008305	integrin complex	11	2	1.31	0.71823
316	GO:0005583	fibrillar collagen trimer	10	1	1.19	0.71840
317	GO:0072546	EMC complex	10	1	1.19	0.71840
318	GO:0033276	transcription factor TFTC complex	10	1	1.19	0.71840
319	GO:0000812	Swr1 complex	10	1	1.19	0.71840
320	GO:0005834	heterotrimeric G-protein complex	10	1	1.19	0.71840
321	GO:0070603	SWI/SNF superfamily-type complex	51	4	6.07	0.71876
322	GO:0001726	ruffle	87	5	10.35	0.71887
323	GO:0034704	calcium channel complex	41	2	4.88	0.71892
324	GO:0043202	lysosomal lumen	50	5	5.95	0.72535
325	GO:0005794	Golgi apparatus	1049	128	124.82	0.72557
326	GO:0005795	Golgi stack	129	16	15.35	0.73059
327	GO:0030672	synaptic vesicle membrane	61	6	7.26	0.74847
328	GO:0000775	chromosome, centromeric region	139	18	16.54	0.75019
329	GO:0072686	mitotic spindle	51	8	6.07	0.75151
330	GO:0071203	WASH complex	11	1	1.31	0.75193
331	GO:0034709	methylosome	11	1	1.31	0.75193
332	GO:0035371	microtubule plus-end	11	1	1.31	0.75193
333	GO:0005736	RNA polymerase I complex	11	1	1.31	0.75193
334	GO:0001891	phagocytic cup	11	1	1.31	0.75193
335	GO:0016593	Cdc73/Paf1 complex	11	1	1.31	0.75193
336	GO:0031932	TORC2 complex	11	1	1.31	0.75193
337	GO:0035098	ESC/E(Z) complex	11	1	1.31	0.75193
338	GO:0019897	extrinsic component of plasma membrane	66	6	7.85	0.75301
339	GO:0005844	polysome	22	2	2.62	0.75558
340	GO:0014069	postsynaptic density	109	11	12.97	0.76289
341	GO:0031514	motile cilium	64	9	7.62	0.76826
342	GO:0048471	perinuclear region of cytoplasm	348	38	41.41	0.76888
343	GO:0043005	neuron projection	725	79	86.27	0.77634
344	GO:0005694	chromosome	654	65	77.82	0.78026
345	GO:0070938	contractile ring	12	1	1.43	0.78147
346	GO:0032389	MutLalpha complex	12	1	1.43	0.78147
347	GO:0035097	histone methyltransferase complex	49	3	5.83	0.78190
348	GO:0031901	early endosome membrane	64	6	7.62	0.78879
349	GO:0048786	presynaptic active zone	24	2	2.86	0.79743
350	GO:0005819	spindle	340	39	40.46	0.80098
351	GO:0030135	coated vesicle	122	14	14.52	0.80748
352	GO:0005763	mitochondrial small ribosomal subunit	13	1	1.55	0.80749
353	GO:0016235	aggresome	13	1	1.55	0.80749
354	GO:0034451	centriolar satellite	13	1	1.55	0.80749
355	GO:0000930	gamma-tubulin complex	13	1	1.55	0.80749
356	GO:0034399	nuclear periphery	76	6	9.04	0.80792
357	GO:0005901	caveola	46	4	5.47	0.81340
358	GO:0005758	mitochondrial intermembrane space	46	4	5.47	0.81340
359	GO:0005813	centrosome	440	47	52.36	0.81592
360	GO:0005768	endosome	514	56	61.16	0.82602
361	GO:0036064	ciliary basal body	47	4	5.59	0.82651
362	GO:0005771	multivesicular body	22	2	2.62	0.83041
363	GO:0002080	acrosomal membrane	14	1	1.67	0.83041
364	GO:0035145	exon-exon junction complex	14	1	1.67	0.83041
365	GO:0005732	sno(s)RNA-containing ribonucleoprotein complex	14	1	1.67	0.83041
